id,state,name,city,county,latitude,longitude,towered,longest_runway_ft,surface_category,use_category,contact_phone,info_url,type,sources,corroborated
00C,CO,ANIMAS AIR PARK,DURANGO,LA PLATA,37.20317833,-107.86919527,no,5010,paved,public,,https://www.airnav.com/airport/00C,airport,faa,no
00F,MT,BROADUS,BROADUS,POWDER RIVER,45.47047222,-105.45713888,no,4400,paved,public,,https://www.airnav.com/airport/00F,airport,faa,no
00M,MS,THIGPEN FLD,BAY SPRINGS,JASPER,31.95375,-89.23533333,no,3000,paved,public,,https://www.airnav.com/airport/00M,airport,faa,no
00N,NJ,BUCKS,BRIDGETON,CUMBERLAND,39.47373919,-75.18456752,no,2420,unpaved,public,,https://www.airnav.com/airport/00N,airport,faa,no
00R,TX,LIVINGSTON MUNI,LIVINGSTON,POLK,30.68586111,-95.01791666,no,3704,paved,public,,https://www.airnav.com/airport/00R,airport,faa,no
00S,OR,MC KENZIE BRIDGE STATE,MC KENZIE BRIDGE,LANE,44.18155555,-122.08555555,no,2600,unpaved,public,,https://www.airnav.com/airport/00S,airport,faa,no
00U,MT,BIG HORN COUNTY,HARDIN,BIG HORN,45.74438888,-107.66044444,no,4491,paved,public,,https://www.airnav.com/airport/00U,airport,faa,no
00W,WA,LOWER GRANITE STATE,COLFAX,WHITMAN,46.67275,-117.44166666,no,3400,unpaved,public,,https://www.airnav.com/airport/00W,airport,faa,no
01A,AK,PURKEYPILE,PURKEYPILE,KUSKOKWIM,62.94075555,-152.26960972,no,1176,unpaved,public,9074740788,https://www.airnav.com/airport/01A,airport,faa,no
01G,NY,PERRY-WARSAW,PERRY,WYOMING,42.74134861,-78.05214805,no,3429,paved,public,,https://www.airnav.com/airport/01G,airport,faa,no
01J,FL,HILLIARD AIRPARK,HILLIARD,NASSAU,30.68596666,-81.90634305,no,3600,unpaved,public,,https://www.airnav.com/airport/01J,airport,faa,no
01K,KS,CALDWELL MUNI,CALDWELL,SUMNER,37.03661111,-97.58555555,no,2460,unpaved,public,,https://www.airnav.com/airport/01K,airport,faa,no
01M,MS,TISHOMINGO COUNTY,BELMONT,TISHOMINGO,34.49179138,-88.2012025,no,4007,paved,public,,https://www.airnav.com/airport/01M,airport,faa,no
01U,NV,DUCKWATER,DUCKWATER,NYE,38.85325,-115.63466666,no,3400,unpaved,public,,https://www.airnav.com/airport/01U,airport,faa,no
02A,AL,CHILTON COUNTY,CLANTON,CHILTON,32.85048447,-86.61143247,no,4007,paved,public,,https://www.airnav.com/airport/02A,airport,faa,no
02C,WI,CAPITOL DRIVE,BROOKFIELD,WAUKESHA,43.08964136,-88.17944525,no,3387,unpaved,public,,https://www.airnav.com/airport/02C,airport,faa,no
