id,state,name,city,county,latitude,longitude,towered,longest_runway_ft,surface_category,use_category,contact_phone,info_url,type,sources,corroborated
00AA,KS,AERO B RANCH,LEOTI,LOGAN,38.70402222,-101.47391111,no,3435,unpaved,private,,https://www.airnav.com/airport/00AA,airport,faa,no
00AK,AK,LOWELL FLD,ANCHOR POINT,SEWARD,59.94888888,-151.69222222,no,2500,unpaved,private,9072358588,https://www.airnav.com/airport/00AK,airport,faa,no
00AL,AL,EPPS AIRPARK,HARVEST,MADISON,34.86481027,-86.7702775,no,2100,unpaved,private,,https://www.airnav.com/airport/00AL,airport,faa,no
00AN,AK,KATMAI LODGE,KING SALMON,LAKE AND PENINSULA,59.09347222,-156.45583333,no,4517,unpaved,private,9072837211,https://www.airnav.com/airport/00AN,airport,faa,no
00AR,KS,ARLAND,BENNINGTON,OTTAWA,38.96965108,-97.60155661,no,2500,unpaved,private,,https://www.airnav.com/airport/00AR,airport,faa,no
00AS,OK,FULTON,ALEX,GRADY,34.94280277,-97.81801944,no,1450,unpaved,private,,https://www.airnav.com/airport/00AS,airport,faa,no
00CA,CA,GOLDSTONE /GTS/,BARSTOW,SAN BERNARDINO,35.35497222,-116.88520833,no,6000,paved,private,,https://www.airnav.com/airport/00CA,airport,faa,no
00CL,CA,WILLIAMS AG,BIGGS,BUTTE,39.42718888,-121.76342777,no,3517,paved,private,,https://www.airnav.com/airport/00CL,airport,faa,no
00FA,FL,GRASS PATCH,BUSHNELL,SUMTER,28.64554722,-82.218975,no,3200,paved,private,,https://www.airnav.com/airport/00FA,airport,faa,no
00FL,FL,RIVER OAK,OKEECHOBEE,OKEECHOBEE,27.23087972,-80.96923055,no,4700,unpaved,private,,https://www.airnav.com/airport/00FL,airport,faa,no
00GA,GA,LT WORLD,LITHONIA,DE KALB,33.7675,-84.06833333,no,2600,unpaved,private,,https://www.airnav.com/airport/00GA,airport,faa,no
00ID,ID,DELTA SHORES,CLARK FORK,BONNER,48.14527777,-116.21444444,no,3500,unpaved,private,,https://www.airnav.com/airport/00ID,airport,faa,no
00IG,KS,GOLTL,MCDONALD,RAWLINS,39.72402777,-101.39599444,no,2450,unpaved,private,,https://www.airnav.com/airport/00IG,airport,faa,no
00IL,IL,HAMMER,POLO,OGLE,41.97836333,-89.56038833,no,2500,unpaved,private,,https://www.airnav.com/airport/00IL,airport,faa,no
